node, X_Crd(UTM14), Y_Crd(UTM14), BOTTOM
1,687186.625,3123548.75,2.263
2,687357.9375,3123241.5,1.583
3,687647.0625,3123326,2.767
4,687922.3125,3122977.5,2
5,688254.9375,3123254,4.264
6,688469.5,3122927.75,1.279
7,688864.375,3117900.75,-0.736
8,689040.8125,3123206.5,4.03
9,689240.5,3117145.25,-2.06
10,689278.9375,3122444.5,1.001
11,689307.5625,3118143,-0.001
12,689546.75,3116750,-2.081
13,689698.8125,3117559.5,-2.004
14,689747.625,3121949.75,1.339
15,689755.1875,3122809.5,3.021
16,689762,3118351.75,-0.153
17,689853.0625,3116354.75,-2.1
18,689998,3121371.5,2.052
19,690032.5625,3116911,-2.09
20,690159.3125,3115959.5,-2.1
21,690162,3122519,3.477
22,690317.3125,3120960,1.381
23,690332.25,3122010,3.211
24,690444.875,3117966.75,-1.908
25,690465.625,3115564.5,-2.071
26,690392.0625,3117307.25,-2.1
27,690614.5625,3118697,-0.715
28,690800.8125,3115777.75,-1.967
29,690672.125,3116583.5,-2.1
30,690771.9375,3115169.25,-1.913
31,690841,3121087.5,1.054
32,690850.5625,3121793.5,2.604
33,691089.875,3118369.25,-1.703
34,691078.1875,3114774,-1.656
35,691084.8125,3118867,-0.714
36,691111.8125,3117515.75,-1
37,691304.1875,3115348,-1.75
38,691329.4375,3121194.5,1.192
39,691329.9375,3121935.5,2.176
40,691431.6875,3116040.75,-1.906
41,691384.5,3114378.75,-0.951
42,691555,3119037,-0.699
43,691686.5,3114848,-1.428
44,691728.1875,3118132.75,-1
45,691690.75,3113983.5,-1.501
46,691595.9375,3116802.25,-1
47,691817.875,3121301.5,1.109
48,691923.375,3122113.75,3.019
49,691997.0625,3113588.25,-2.151
50,692230.5,3118610.5,-1
51,692056.125,3115478.5,-1.365
52,691859.5625,3117447.5,-1
53,691953.0625,3114303,-1.573
54,692343,3114805.25,-0.767
55,692306.25,3121408.25,1
56,692160.9375,3116255,-1
57,692357.75,3119366,-0.79
58,692530.5625,3121957.25,1.521
59,692339.3125,3116971,-1
60,692642.4375,3112907.5,-2.366
61,692755.6875,3115242.25,-0.5
62,692616.5,3114214.5,-1.464
63,692814.3125,3119569.75,-0.202
64,692710.6875,3115811,-1
65,692522.5625,3117816.25,-1
66,692988.875,3118700,-1
67,692950.0625,3121056.75,-0.5
68,692977.8125,3121603,1.754
69,693024.875,3112585.5,-1.985
70,692832,3116426.25,-1
71,693199.5,3115498.5,-0.5
72,693065.0625,3117078.25,-1
73,692990.1875,3114744.75,-1
74,693023.9375,3113588.5,-2.028
75,693234.6875,3115115.25,-0.503
76,693572.9375,3119271.5,-0.997
77,693259.875,3115965.75,-0.977
78,693391.6875,3114257,-1
79,693407.3125,3112263.5,-1.554
80,693420.3125,3119874.75,1.176
81,693474.0625,3121542,1.064
82,693483.1875,3112887.75,-2.431
83,693532.4375,3120779.25,0.96
84,693446.4375,3117773.75,-1
85,693456,3116476.25,-1
86,693607.5625,3115600.25,-0.324
87,693628.3125,3115257,-0.323
88,693599.625,3114834,-1
89,693721.1875,3120274,1.274
90,693753.6875,3115982,-0.938
91,693794.0625,3117006.5,-0.998
92,693789.75,3111941.5,-1.646
93,693977.6875,3118492.5,-0.925
94,693882.375,3115350.5,1.049
95,693874.875,3112399.75,-2.518
96,694012.9375,3113675.75,-1
97,693921.75,3115547.25,0.211
98,694106.8125,3114485.25,-0.855
99,694219.5625,3119199,-0.936
100,694017,3119793.25,-0.801
101,694031.1875,3116398.5,-1
102,694172.25,3111619.25,-1.72
103,694245.6875,3115904,-0.533
104,694246.1875,3115144,1.115
105,694330.1875,3117549.25,-0.524
106,694299.25,3120484.5,-0.677
107,694293,3121363.5,0.766
108,694298.125,3112112.5,-2.784
109,694435.5,3116762.5,-0.004
110,694469.75,3115427.75,0.446
111,694624.4375,3118172.5,0.587
112,694964.8125,3113510.5,-0.534
113,694502.25,3116260.75,-0.597
114,694395.9375,3112793.5,-1
115,694554.6875,3111297.25,-1.468
116,694661.5,3118781.75,0.689
117,694724.0625,3114207,-0.63
118,694666.375,3114794.5,1.002
119,694688.625,3121669.25,1.385
120,694704.0625,3121022.25,-0.428
121,694795.5,3115807,-0.003
122,694937.125,3110975.25,-1.507
123,694952,3116927,1.152
124,694840.0625,3112236.5,-1
125,695003.3125,3116432.25,1.191
126,694715.8125,3111683.5,-2.501
127,694958.1875,3120504,-0.638
128,695071.375,3118328.25,1.383
129,695081.3125,3117710.25,1.301
130,695086.5625,3114523.5,1.384
131,694868.6875,3119656,-0.796
132,695207.1875,3118841.75,1.382
133,695245,3121607,1.41
134,695281.1875,3121090,-0.34
135,695297.8125,3112732.75,-0.994
136,695506.75,3114252.5,1.067
137,695492.625,3111860.75,-2.259
138,695637.6875,3120266.75,1.339
139,695678,3110521.75,-1.327
140,695731.25,3121490.75,1.175
141,695851.375,3113401.25,-0.145
142,695949.375,3119376.25,1.383
143,696003.4375,3121070.25,0.901
144,695980,3111046,-1.794
145,696147.4375,3110349.5,-1.324
146,696186.25,3120335.25,1.022
147,696216.8125,3119836.25,1.332
148,696242,3112593.25,-0.787
149,696435.5,3111758,-1
150,696438.8125,3113984,0.474
151,696657.9375,3113335,0.008
152,696501.6875,3110689.25,-1.262
153,696616.875,3110177.5,-1.854
154,696667.75,3111167.25,-1.695
155,696920.625,3113866,2.94
156,696905.6875,3112244.75,-1
157,697053.1875,3112820.5,-0.308
158,697086.3125,3110005.25,-1.887
159,697096.5,3110706.25,-2.017
160,697324.9375,3111636.5,-1
161,697441.75,3113344.75,1.104
162,697586.375,3110332.25,-2.013
163,697472.75,3112415,-1
164,697555.75,3109833.25,-1.876
165,697599.0625,3112990.75,0.964
166,697826,3122469,0.135
167,697891.625,3110935.75,-1.805
168,697912.125,3112170.5,-0.657
169,697923.5625,3113148.25,0.885
170,698025.1875,3109661,-1.975
171,698041.5,3112627,0.41
172,698301.75,3110181.25,-2.01
173,698222.875,3122363,0.674
174,698233.4375,3122955.75,1.098
175,698217.5625,3111693.5,-0.536
176,698326.6875,3112823.75,-0.021
177,698484,3113226.75,0.924
178,698602,3114308.25,0.602
179,698651.5,3122686,0.792
180,698504,3112481.25,-0.45
181,698730.875,3123183.25,0.748
182,698736.5,3116322.5,0.622
183,698798.625,3113787.25,0.41
184,698820.8125,3123575,1.387
185,698822.625,3111065,-1
186,698849.9375,3111872.25,-1
187,698934,3109340.25,-1.947
188,699005.125,3115950.5,0.006
189,698996.4375,3113045.5,-0.327
190,699073.8125,3115168.25,0.125
191,699210.25,3118040.75,1.223
192,699296.5625,3110101,-1.861
193,699238.875,3122818.25,0.247
194,699203.75,3112390,-0.205
195,699278.0625,3117647.75,1.11
196,699350.375,3116772.25,0.896
197,699387,3123638.5,1.35
198,699263.125,3114169.75,-0.343
199,699407.5625,3109179.75,-1.804
200,699501.6875,3111732,-1
201,699699.25,3110938.5,-1
202,699401.625,3113503,-0.5
203,699601.75,3117137.25,0.552
204,699773.1875,3115897.5,-0.5
205,699586.5,3112885,-0.352
206,699922.3125,3109678.5,-1.8
207,699766.3125,3118174.25,1.639
208,699784,3112323.75,-0.351
209,699768.0625,3113823.5,-0.388
210,699953.9375,3123218.5,-0.5
211,699833.125,3122477,1.394
212,699988.6875,3110323.5,-1.8
213,699881.125,3109019.25,-1.8
214,699934.5625,3114428,-0.5
215,700059.6875,3116626.75,-0.5
216,699952.25,3111964.25,-0.999
217,699996.9375,3113307.75,0.379
218,699984.4375,3115157.75,-0.5
219,700066.3125,3123953.5,1.341
220,700325.5625,3117296.75,-0.5
221,700186.6875,3122123.5,0.17
222,700244,3113708.5,0.377
223,700320.8125,3109388,-1.8
224,700136.3125,3112740.5,0.1
225,700199.875,3111570.5,-0.999
226,700351.125,3118814.75,1.128
227,700354.75,3108859,-1.765
228,700362,3113423.5,0.687
229,700323.5,3112230.5,-0.581
230,700469.6875,3122797,-0.5
231,700386.0625,3110838.75,-1
232,700564.9375,3114187,-0.5
233,700480,3113069.5,0.282
234,700639.0625,3110060.25,-1.676
235,700540.25,3121770,1.109
236,700496.8125,3115513.25,-0.5
237,700442.25,3116093.75,-0.5
238,700559.625,3124352,1.077
239,700593.375,3117981.25,-0.5
240,700647.125,3112627,1.237
241,700643.75,3114781.25,-0.5
242,700728.5625,3123626.5,-0.5
243,700701.0625,3111918.5,-0.993
244,700715.25,3119172.25,1.019
245,700783.25,3122352.5,-0.5
246,700806.6875,3109323.25,-1.755
247,700828.3125,3108698.5,-1.698
